bing,
肠癌病,b1
咳嗽病,b2
不寐病,b3
_瘕病,b4
哮喘病,b5
湿疮病,b6
虚劳病,b7
痛风病,b8
胃痞病,b9
白_病,b10
喉痹病,b11
月经后期病,b12
瘿劳病,b13
_痹病,b14
癃闭病,b15
胃脘痛病,b16
肛肠病(混合痔病),b17
脾系病(便秘病),b18
乳癌病,b19
心悸病,b20
尿浊病,b21
胸痹心痛病,b22
尿血病,b23
喘病,b24
郁病,b25
经期延长病,b26
乳癌病术后,b27
肝积病,b28
肢痹病,b29
腹痛病,b30
积聚病,b31
绝经前后诸病,b32
月经病类,b33
眩晕病,b34
月经过少病,b35
精冷病,b36
尿频病,b37
胁痛病,b38
消渴病,b39
面游风病,b40
瘿病,b41
痿病,b42
肺胀病,b43
泄泻病,b44
湿阻病,b45
妇科病,b46
中风病,b47
膏淋病,b48
慢性肾衰病,b49
肠癌,b50
月经过多病,b51
干燥病,b52
紫癜病,b53
肾衰病,b54
小儿咳嗽病,b55
中风病中经络,b56
痰饮病,b57
口疮病,b58
痛经病,b59
汗病,b60
耳鸣、耳聋病,b61
胃癌,b62
劳淋病,b63
头痛病,b64
狐惑病,b65
风瘙痒病,b66
不孕病,b67
水肿病,b68
乳癖病,b69
癣病,b70
黄疸病,b71
吐酸病,b72
瘾疹病,b73
耳鸣病,b74
感冒病,b75
崩漏病,b76
肝癖病,b77
肺癌病,b78
粉刺性乳痈病,b79
脊痹病,b80
胃癌病,b81
腹胀满病,b82
鼻窒病,b83
漏下病,b84
痰毒病,b85
脏躁病,b86
黧黑斑病,b87
哮病,b88
骨痹病,b89
小儿感冒病,b90
乳岩,b91
内科癌病,b92
带下病,b93
月经先后无定期病,b94
丹毒病,b95
肝癌病,b96
痫病,b97
乳核病,b98
臌胀病,b99
痰核病,b100
产后病类,b101
盗汗病,b102
鼻鼽病,b103
肥胖病,b104
内科瘤病,b105
鼻病类,b106
热淋病,b107
口糜病,b108
粉刺病,b109
瓜藤缠病,b110
腰痛病,b111
髓劳病,b112
咽喉病类,b113
风湿痹病,b114
月经先期病,b115
胃痞,b116
油风病,b117
闭经病,b118
便血病,b119
白驳风病,b120
鼻渊病,b121
胃胀病,b122
石瘿病,b123
缺血中风病,b124
臁疮病,b125
脾约病,b126
白庀病,b127
视瞻昏渺病,b128
视直如曲病,b129
红蝴蝶疮病,b130
暴盲病,b131
耳鼻喉癌病类,b132
阳萎病,b133
肺癌,b134
早泄病,b135
脑鸣病,b136
项痹病,b137
青风内障病,b138
妇科病(盆腔炎病),b139
胃疡病,b140
乳痈病,b141
妇科癌病,b142
圆翳内障病,b143
乳衄病,b144
精浊病,b145
性冷病,b146
外科病,b147
蛇串疮病,b148
恶核,b149
肾癌病,b150
胞生痰核病,b151
耳病类,b152
乳房病类,b153
瘰疬病,b154
雀斑病,b155
眼科病,b156
聚病,b157
嘈杂病,b158
肺系病类,b159
疣目病,b160
石淋病,b161
早孕,b162
肠瘤,b163
胎动不安病,b164
高风雀目病,b165
疣病,b166
堕胎病,b167
气瘿病,b168
发蛀脱发病,b169
伤筋病,b170
急喉痹病,b171
胰癌病,b172
带下病类,b173
颤病,b174
食管癌病,b175
白涩病,b176
阴痒病,b177
乳发病,b178
膀胱癌病,b179
骨折病,b180
胆癌病,b181
肛漏病,b182
疳病,b183
肌痹病,b184
脾系病（便秘病）,b185
膝痹病,b186
呃逆病,b187
瘿瘤,b188
皮痹病,b189
心痹病,b190
自汗病,b191
足跟痹病,b192
胆石病,b193
反胃病,b194
痴呆病,b195
咽菌病,b196
积病,b197
脑瘤病,b198
皮肤病类,b199
膀胱癌,b200
五迟、五软病,b201
恶核病,b202
舌痈病,b203
痛痹病,b204
颜面疔疮病,b205
面瘫病,b206
喉_病,b207
乳疬病,b208
劳淋,b209
经行头痛病,b210
小产病,b211
颃颡岩,b212
疮疡病类,b213
经间期出血病,b214
骨蚀病,b215
风温肺热病,b216
乳癌,b217
日晒疮病,b218
血淋病,b219
肾癌,b220
妇科瘤病,b221
息肉痔病,b222
紫癜风病,b223
耳鼻喉癌病(舌癌病),b224
白_,b225
石瘕病,b226
梅核气病,b227
血劳病,b228
少阴病,b229
风热疮病,b230
天疱疮病,b231
肝痞,b232
肝著病,b233
小儿紫癜病,b234
强中病,b235
胰癌,b236
痹病,b237
经行发热病,b238
筋瘤病,b239
胁肋痛病,b240
血痹,b241
厌食病,b242
肾系病(不育病),b243
滑胎病,b244
阴挺病,b245
肝着,b246
腰痹病,b247
咯血病,b248
瘕病,b249
内伤咳嗽病,b250
悬饮病,b251
无精病,b252
遗精病,b253
高原胸痹病,b254
内伤发热病,b255
脑瘤,b256
外感咳嗽病,b257
血灌瞳神病,b258
食管瘅,b259
产后汗病,b260
青蛇毒病,b261
绿风内障病,b262
肛肠病（痔病）,b263
牙宣病,b264
小儿腹痛病,b265
肾系病类,b266
小儿汗病,b267
食管癌,b268
痉病,b269
肛裂病,b270
遗尿病,b271
悬珠痔病,b272
肛肠病(内痔病),b273
外科其他病类,b274
胎漏病,b275
血实病,b276
肝系病类,b277
肩痹病,b278
多寐病,b279
肉瘿病,b280
肝著,b281
失荣病,b282
精癃病,b283
经断复来病,b284
四弯风病,b285
皮肤病(胼胝病),b286
心衰病,b287
心系病类,b288
脾系病类,b289
胸痹,b290
上胞下垂病,b291
妇科其他病类,b292
咽喉菌病,b293
顽湿聚结病,b294
食管瘅病,b295
怔忡病,b296
肌痿病,b297
外感热病类,b298
皴裂疮病,b299
外科瘤病类,b300
脚湿气病,b301
肝热病,b302
宫颈癌,b303
噎膈病,b304
癌证,b305
胆癌,b306
扁瘊病,b307
肠结病,b308
肝癌,b309
心厥病,b310
鹅掌风病,b311
呕吐病,b312
石瘿,b313
耳痛病,b314
肺咳病,b315
血瘤病,b316
热疮病,b317
肛痈病,b318
面痛病,b319
神劳病,b320
妊娠病类,b321
乳积病,b322
头风病,b323
精少病,b324
热淋,b325
肾著病,b326
胃缓病,b327
痈病,b328
肢痿病,b329
伤后癃闭病,b330
妊娠腹痛病,b331
脱疽病,b332
多发性疖病,b333
血精病,b334
积滞病,b335
创伤病,b336
虚眩病,b337
灰指(趾)甲病,b338
云雾移睛病,b339
肉瘤病,b340
肠瘤病,b341
肝积,b342
急劳病,b343
骨瘤病,b344
鼻衄病,b345
少阳病,b346
急乳蛾病,b347
肛肠病(痔病),b348
外科癌病类,b349
流火病,b350
子岩病,b351
脊痹,b352
喉喑病,b353
瘤病,b354
白屑风病,b355
痨淋病,b356
休息痢病,b357
肝瘤,b358
耳聋病,b359
肺热病,b360
木舌病,b361
异物梗喉病,b362
癃闭,b363
目病,b364
横痃病,b365
颃颡岩病,b366
出血中风病,b367
慢喉痹病,b368
急劳,b369
