"","药名","使用次数","总质量/g","单位处方中的平均质量/g"
"83","蜜麸炒白术",4,87,21.75
"102","黄芪",4,87,21.75
"56","白花蛇舌草",5,75,15
"7","党参",3,72,24
"77","薏苡仁(米仁)",3,72,24
"5","仙鹤草",3,60,20
"14","半枝莲",4,60,15
"50","牡蛎",3,60,20
"53","生丹参",2,60,30
"82","蜜麸山药",2,60,30
"57","白茯苓",4,52,13
"11","制山茱萸(山萸肉)",4,48,12
"61","盐补骨脂",2,48,24
"17","地黄",3,45,15
"22","女贞子(制)",2,45,22.5
"48","熟地黄",3,45,15
"101","黄芩",4,42,10.5
"60","盐益智仁",2,38,19
"19","夏枯草",2,30,15
"40","炒薏苡仁",1,30,30
"45","煅瓦楞子",1,30,30
"46","煅白螺蛳壳",2,30,15
"54","生决明子",1,30,30
"55","生山楂",2,30,15
"58","盐杜仲",2,30,15
"71","芡实",1,30,30
"76","蒲公英",2,30,15
"80","蜀羊泉(白英)",2,30,15
"99","鱼腥草",2,30,15
"47","煨诃子",2,29,14.5
"6","佩兰(干)",2,27,13.5
"52","甘草",4,27,6.75
"84","蜜麸炒白芍",2,27,13.5
"9","关黄柏",2,24,12
"29","当归",2,24,12
"31","柴胡",3,24,8
"96","预知子(八月扎)",2,24,12
"20","大枣",2,21,10.5
"32","桂枝",2,21,10.5
"41","炒路路通",2,21,10.5
"49","牡丹皮",2,21,10.5
"27","川佛手",2,18,9
"38","灵芝",1,18,18
"51","玄参",2,18,9
"62","知母",2,18,9
"90","酒制大黄",2,18,9
"92","金樱子",1,18,18
"94","陈皮",3,18,6
"95","青连翘",2,18,9
"1","_蓄",1,15,15
"2","三棱",1,15,15
"4","仙茅",1,15,15
"8","六神曲炭",1,15,15
"10","凤尾草",1,15,15
"12","北沙参",1,15,15
"16","土茯苓",1,15,15
"24","婆婆针(鬼针草)",1,15,15
"26","山药(生山药)",1,15,15
"33","槲寄生(桑寄生)",1,15,15
"34","泽泻",1,15,15
"35","浮小麦",1,15,15
"36","淫羊藿(仙灵脾)",1,15,15
"37","火麻仁",1,15,15
"42","炒车前子",1,15,15
"43","煅制阳起石",1,15,15
"44","煅牡蛎",1,15,15
"64","石打穿",1,15,15
"65","石榴皮",1,15,15
"68","禹州漏芦(漏芦)",1,15,15
"69","红花",2,15,7.5
"70","羊乳根",1,15,15
"72","芦根(干)",1,15,15
"74","莪术",1,15,15
"75","菝葜",1,15,15
"79","藿香",1,15,15
"87","连钱草(金钱草)",1,15,15
"89","郁金(广)",1,15,15
"91","野葡萄藤",1,15,15
"105","龙葵",1,15,15
"3","丝瓜络",1,12,12
"103","黄连",2,12,6
"18","地龙",1,10,10
"63","矮地茶(平地木)",1,10,10
"104","墨旱莲(旱莲草)",1,10,10
"15","吴茱萸(制)",2,9,4.5
"23","姜汁炒竹茹",1,9,9
"25","山慈菇",1,9,9
"39","炒稻芽",1,9,9
"73","苍耳子(炒)",1,9,9
"78","薤白(野白头)",1,9,9
"86","赤芍",1,9,9
"93","防风",1,9,9
"97","香橼(蜜麸炒)",1,9,9
"100","麦芽(炒麦芽)",1,9,9
"13","升麻",1,6,6
"30","木香",1,6,6
"59","盐橘核",1,6,6
"67","砂炒鸡内金",1,6,6
"88","通草(方通草)",1,6,6
"21","天龙",1,3,3
"28","川贝母粉",1,3,3
"66","砂仁(阳春砂)",1,3,3
"81","蜜炙甘草",1,3,3
"85","豆蔻(白豆蔻)",1,3,3
"98","高良姜",1,2,2
