"","x"
"白茯苓",0.787878787878788
"半枝莲",0.727272727272727
"黄芪",0.727272727272727
"柴胡",0.666666666666667
"陈皮",0.666666666666667
"蜜麸炒枳壳(枳壳)",0.666666666666667
"生白术",0.666666666666667
"白花蛇舌草",0.606060606060606
"地黄",0.606060606060606
"六神曲炭",0.606060606060606
"蜜麸炒白芍",0.606060606060606
"蜜麸炒白术",0.606060606060606
"野葡萄藤",0.606060606060606
"薏苡仁(米仁)",0.606060606060606
"制半夏(姜半夏)",0.606060606060606
"大血藤(红藤)",0.575757575757576
"党参",0.575757575757576
"太子参",0.575757575757576
"藤梨根",0.575757575757576
"夏枯草",0.575757575757576
"甘草",0.545454545454545
"蜜炙甘草",0.545454545454545
"川芎",0.515151515151515
"灵芝",0.515151515151515
"山药(生山药)",0.515151515151515
"生丹参",0.515151515151515
"苏败酱(败酱草)",0.515151515151515
"仙鹤草",0.515151515151515
"大枣",0.484848484848485
"当归",0.484848484848485
"石榴皮",0.484848484848485
"制山茱萸(山萸肉)",0.484848484848485
"炒薏苡仁",0.454545454545455
"防风",0.454545454545455
"桂枝",0.454545454545455
"黄芩",0.454545454545455
"蜜麸山药",0.454545454545455
"升麻",0.454545454545455
"生山楂",0.454545454545455
"盐补骨脂",0.454545454545455
