zheng,
余热未尽证,z1
肺气亏虚证,z2
阴阳失调证,z3
下焦湿热证,z4
肺卫气虚证,z5
肺脾气虚证,z6
湿热证,z7
痰湿阻肺证,z8
脾失健运证,z9
风热证,z10
肝胃不和证,z11
血虚风燥证,z12
脾虚气滞证,z13
阴虚火旺证,z14
气滞血瘀证,z15
冲任失调证,z16
肝肾阴虚证,z17
湿热内蕴证,z18
肾虚证,z19
湿热下注证,z20
实热证,z21
气血瘀滞证,z22
脾虚气陷证,z23
脾胃虚弱证,z24
脾胃气虚证,z25
肝郁痰凝证,z26
肝郁脾虚证,z27
脾肾两虚证,z28
心脾两虚证,z29
气阴两虚证,z30
痰湿中阻证,z31
肝郁证,z32
胃阴不足证,z33
肺肾两虚证,z34
肝气郁滞证,z35
肾元亏虚证,z36
脾虚湿蕴证,z37
肝气郁结证,z38
脾胃不和证,z39
肾虚血瘀证,z40
瘀血证,z41
心血瘀阻证,z42
湿浊中阻证,z43
肾阴亏虚证,z44
气血两虚证,z45
肝郁气滞证,z46
肺胃湿热证,z47
外邪侵入证,z48
肝肾亏虚证,z49
脾肾气虚证,z50
脾虚湿阻证,z51
饮溢四肢证,z52
气虚血瘀证,z53
脾胃失调证,z54
肝肾不足证,z55
痰热壅肺证,z56
气血不足证,z57
阴虚内热证,z58
瘀结证,z59
肾气亏虚证,z60
脾肾亏虚证,z61
肝肾亏损证,z62
痰湿结聚证,z63
余毒未清证,z64
气血两亏证,z65
脾虚湿困证,z66
痰湿阻滞证,z67
肝胃郁热证,z68
肠道湿热证,z69
脾胃亏虚证,z70
气阴两伤证,z71
气阴亏虚证,z72
痰湿蕴结证,z73
脾气不足证,z74
气虚证,z75
"肝气郁结,气滞血瘀证",z76
气血亏虚证,z77
寒邪外感证,z78
气郁痰阻证,z79
气虚血滞证,z80
风湿郁热证,z81
气虚湿阻证,z82
湿热蕴结证,z83
肺热血瘀证,z84
肝阳亢盛证,z85
痰湿凝结证,z86
肾阳亏虚证,z87
脾虚湿盛证,z88
肺经风热证,z89
"邪毒久留,气滞血瘀证",z90
痰瘀互结证,z91
气滞湿阻证,z92
"肝阳上亢,痰邪阻窍证",z93
湿浊内蕴证,z94
"肝阳上亢,脉络瘀阻证",z95
肾精亏虚证,z96
气滞痰凝证,z97
"肝肾阴虚,肝阳上亢证",z98
阴虚湿热证,z99
肾阴不足证,z100
其他证,z101
脾肾不足证,z102
脾肺两虚证,z103
心脾亏虚证,z104
肾阴虚证,z105
脾肺气虚证,z106
肝胆湿热证,z107
肺气阴两虚证,z108
"君相火动,心肾不交证",z109
脾虚湿热证,z110
冲任不固证,z111
气虚外感证,z112
肝脾两虚证,z113
肝胃气滞证,z114
情志郁结证,z115
血热证,z116
余毒凝滞证,z117
心肾不交证,z118
脾胃虚寒证,z119
肺肾气虚证,z120
脾肾阳虚证,z121
肾虚湿热证,z122
心脉痹阻证,z123
风痰阻络证,z124
血瘀阻络证,z125
湿热蕴阻证,z126
外邪犯胃证,z127
脾胃湿热证,z128
热结血瘀证,z129
肝阳上扰证,z130
心血亏虚证,z131
虚火上炎证,z132
肝阳上亢证,z133
余邪未尽证,z134
"脾胃失调,湿热郁蒸证",z135
寒湿证,z136
肺胃蕴热证,z137
经络瘀阻证,z138
气滞证,z139
肺气郁痹证,z140
痰热内阻证,z141
肺阴不足证,z142
痰湿蕴肺证,z143
肝肺热盛证,z144
心血不足证,z145
气不统血证,z146
痰湿阻络证,z147
脾气亏虚证,z148
中焦湿热证,z149
痰湿证,z150
水湿内停证,z151
痰热瘀肺证,z152
冲任不调证,z153
脾肺气阴两虚证,z154
肝火炽盛证,z155
气滞血郁证,z156
痰湿壅肺证,z157
阴虚气滞证,z158
心阴血虚证,z159
肺脾两虚证,z160
脾虚痰湿证,z161
正虚邪恋证,z162
肝肾阴虚阳亢证,z163
肺热证,z164
肝脾气血两虚证,z165
胃气滞血瘀证,z166
肾气不足证,z167
肝郁不舒证,z168
热郁气滞证,z169
"脾胃亏虚,肝阴不足证",z170
脾肾虚寒证,z171
湿热中阻证,z172
脾虚肝旺证,z173
心气亏虚证,z174
肝旺脾虚证,z175
腑气不通证,z176
阳虚痰凝证,z177
肝火上炎证,z178
湿热阻络证,z179
伤阴证,z180
脾胃实热证,z181
热郁胸膈证,z182
肾阳虚证,z183
气机失调证,z184
肝阴不足证,z185
血脉瘀阻证,z186
血热妄行证,z187
气虚血亏证,z188
肝气犯胃证,z189
气阴不足证,z190
胃肠实热证,z191
肝风内动证,z192
肝郁化热证,z193
心气滞血瘀证,z194
肠胃湿热证,z195
脾肾阴虚证,z196
脾气虚证,z197
正虚毒炽证,z198
脾虚失运证,z199
肺经蕴热证,z200
气虚痰结证,z201
阴虚痰阻证,z202
痰湿阻痹证,z203
痰浊中阻证,z204
阴阳两虚证,z205
阴虚血瘀证,z206
血瘀证,z207
痰热蕴结证,z208
气血凝滞证,z209
心气不足证,z210
肝经郁热证,z211
肝肾精血亏损证,z212
热毒炽盛证,z213
阴虚燥热证,z214
肠燥津伤证,z215
饮食积滞证,z216
肾阳不足证,z217
